System,3wrobotNI
Controller,N_CTRL
dt,0.1
state_init,[-1.   -3.    1.57]
Nactor,6
pred_step_size_multiplier,5.0
buffer_size,25
run_obj_struct,quadratic
R1_diag,"[75, 50, 25, 10, 5]"
R2_diag,"[1, 10, 1, 0, 0]"
Ncritic,25
gamma,0.8
critic_period_multiplier,1.0
critic_struct,quad-mix
actor_struct,quad-nomix
t [s],x [m],y [m],alpha [rad],run_obj,accum_obj,v [m/s],omega [rad/s]
0.0001,-1.0,-3.0,1.57,635.0240112900481,63.50240112900481,2.2,-0.017385569004364054
0.0011,-0.9980005214794637,-2.9999983921233797,1.5699841990531707,634.7224121540363,126.97464234440844,2.2,-0.015854459822676636
0.006391518433211265,-0.9863591851825804,-2.999988440952108,1.5698995664330306,632.979222702481,190.27256461465655,2.2,-0.0069430317478769155
0.05639151843321127,-0.8763592412531708,-2.999866236661055,1.5695118028687334,617.5744284760829,252.03000746226485,2.2,0.07740816467377432
0.10639151843321126,-0.7663582046999222,-2.9998955217566587,1.5729977980978964,604.3958109078039,312.46958855304524,2.2,0.15571427114027836
0.15639151843321125,-0.656359336413738,-3.0005266409390736,1.5804266478884614,593.5716298833252,371.82675154137775,2.2,0.22774793648196917
0.20639151843321124,-0.5463714882645577,-3.0021761132037432,1.5914857662897788,585.1949577122723,430.346247312605,2.2,0.29396534864140855
0.25639151843321123,-0.43641410343469195,-3.005226762125064,1.6058822616612267,579.3541983368914,488.2816671462941,2.2,0.3547005958690124
0.3063915184332112,-0.3265198711918066,-3.0100296309257297,1.6233405032186141,576.1321295567395,545.894880101968,2.2,0.41017286556041027
0.3563915184332112,-0.2167364020571912,-3.0169050837002165,1.6435963431842389,575.6044599794407,603.4553260999121,2.2,0.4605045483299378
0.4063915184332112,-0.10712704814228607,-3.0261431779634096,1.6663921944422808,577.8382908349586,661.239155183408,2.2,0.505742065188226
0.4563915184332112,0.0022290665555936423,-3.0380034542740275,1.691473137143093,582.8905750608338,719.5282126894914,2.2,0.5458788610199231
0.5063915184332112,0.1112377595293469,-3.05271431715855,1.7185841651089189,590.8066670201749,778.6088793915089,2.2,0.5808796193660556
0.5563915184332112,0.2197912002517369,-3.0704722016519743,1.7474686374128838,601.6190549684211,838.770784888351,2.2,0.6107043582448998
0.6063915184332113,0.3277699560573235,-3.091440728378959,1.7778679352911757,615.3463609170535,900.3054209800564,2.2,0.6353308386333719
0.6563915184332113,0.43504558639309454,-3.1157500442776818,1.8095222471689907,631.9926788084116,963.5046888608975,2.2,0.6547737234490246
0.7063915184332114,0.5414836689264421,-3.1434965243961375,1.8421723264444956,651.547302804216,1028.6594191413192,2.2,0.6690991814648983
0.7563915184332114,0.6469471136897944,-3.1747429735161923,1.8755620002273037,673.9848745115474,1096.057906592474,2.2,0.6784340949927045
0.8063915184332114,0.7512996020904341,-3.209519417983611,1.9094411630533097,699.2659529618807,1165.984501888662,2.2,0.6829696119938335
0.8563915184332115,0.8544089804203476,-3.2478245233313,1.9435689739791682,727.3379860774162,1238.7183004964036,2.2,0.682959370347263
0.9063915184332115,0.9561504443778097,-3.2896276183865267,1.9777169891707018,758.136639152111,1314.5319644116146,2.2,0.6787132114359498
0.9563915184332116,1.0564093714837335,-3.3348712576806583,2.0116720007271214,791.587416370255,1393.69070604864,2.2,0.6705875230558038
1.0063915184332115,1.1550836894096077,-3.383474215992667,2.045238408011852,827.6074971312987,1476.45145576177,2.2,0.6589734837244292
1.0563915184332116,1.2520857059853143,-3.4353347846327713,2.078240010762735,866.107701008211,1563.062225862591,2.2,0.6442844386579036
1.1063915184332116,1.3473433663878764,-3.4903342292903354,2.110521174958303,906.9944939277267,1653.7616752553638,2.2,0.6269434663585387
1.1563915184332116,1.4408009404546092,-3.5483402726623985,2.1419473761447816,950.1719532578346,1748.7788705811472,2.2,0.6073719490537927
1.2063915184332117,1.532419174924172,-3.6092104789914052,2.1724051667101882,995.5436198640452,1848.3332325675517,2.2,0.58597969190112
1.2563915184332117,1.6221749696728838,-3.6727954387140174,2.2018016420604973,1043.0141793072607,1952.6346504982778,2.2,0.563156884595569
1.3063915184332118,1.710060652949158,-3.7389416762274394,2.2300634964798194,1092.4909304488137,2061.883743543159,2.2,0.539267989338974
1.3563915184332118,1.7960829385556474,-3.8074942292904996,2.2571357646100467,1143.8850161157632,2176.2722451547356,2.2,0.5146474816598519
1.4063915184332119,1.8802616489777546,-3.8782988724521035,2.2829803415275145,1197.112405755798,2295.9834857303154,2.2,0.48959726538596393
1.456391518433212,1.962628284112397,-3.9512039775757404,2.307574365938686,1252.094633171814,2421.1929490474968,2.2,0.4643855236794596
1.506391518433212,2.043224507134938,-4.026062021175296,2.33090853938304,1308.7593028979038,2552.068879337287,2.2,0.43924674487541737
1.556391518433212,2.1221006086796304,-4.102730760669552,2.352985441373965,1367.0403863764234,2688.7729179749294,2.2,0.41438266478839525
1.606391518433212,2.199313999193147,-4.181074110017246,2.3738178874783644,1426.8783339400404,2831.4607513689334,2.2,0.3899638870171218
